predicted_on,index,close,open,high,low,volume,ema_3,ema_5,ema_10,ema_30,sma_10,sma_30,sma_50,macd,rsi,time
2021-12-01,126,158.72720336914062,159.99000549316406,165.52000427246094,159.9199981689453,173758496.0,162.4600067138672,161.30999755859375,159.02000427246094,153.83999633789062,159.02000427246094,153.83999633789062,151.42999267578125,3.710000276565552,73.96772766113281,2021-12-02 00:00:00+00:00
2021-12-04,597,149.8349151611328,164.25999450683594,164.32000732421875,164.1999969482422,10585.0,161.94000244140625,160.99000549316406,158.8699951171875,153.8000030517578,158.8699951171875,153.8000030517578,151.41000366210938,3.640000581741333,73.12605285644531,2021-12-02 00:00:00+00:00
2021-12-04,597,164.4385528564453,164.25999450683594,164.32000732421875,164.1999969482422,10585.0,161.94000244140625,160.99000549316406,158.8699951171875,153.8000030517578,158.8699951171875,153.8000030517578,151.41000366210938,3.640000581741333,73.12605285644531,2021-12-02 00:00:00+00:00
2021-12-04,597,160.71873474121094,164.25999450683594,164.32000732421875,164.1999969482422,10585.0,161.94000244140625,160.99000549316406,158.8699951171875,153.8000030517578,158.8699951171875,153.8000030517578,151.41000366210938,3.640000581741333,73.12605285644531,2021-12-02 00:00:00+00:00
2021-12-10,597,160.71873474121094,164.25999450683594,164.32000732421875,164.1999969482422,10585.0,161.94000244140625,160.99000549316406,158.8699951171875,153.8000030517578,158.8699951171875,153.8000030517578,151.41000366210938,3.640000581741333,73.12605285644531,2021-12-02 00:00:00+00:00
2022-01-26,633,161.25453186035156,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688416,25.8256893157959,2022-01-26 00:00:00+00:00
2022-01-26,633,157.50880432128906,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688416,25.8256893157959,2022-01-26 00:00:00+00:00
2022-01-26,634,151.55921755708508,157.72,157.79,157.62,1318.0,161.33,163.77,167.45,170.05,167.45,170.05,167.5,-1.9099999999999968,22.935904399782743,2022-01-27 00:00:00+00:00
2022-01-26,635,161.30840065700806,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688412,25.82568931579589,2022-01-28 00:00:00+00:00
2022-01-26,636,152.34682490825946,157.72,157.79,157.62,1318.0,161.33,163.77,167.45,170.05,167.45,170.05,167.5,-1.9099999999999968,22.935904399782743,2022-01-31 00:00:00+00:00
2022-01-26,637,162.37419437847095,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688412,25.82568931579589,2022-02-01 00:00:00+00:00
2022-01-26,638,152.65636981637525,157.72,157.79,157.62,1318.0,161.33,163.77,167.45,170.05,167.45,170.05,167.5,-1.9099999999999968,22.935904399782743,2022-02-02 00:00:00+00:00
2022-01-26,639,162.61104823552694,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688412,25.82568931579589,2022-02-03 00:00:00+00:00
2022-01-26,640,152.60411306901528,157.72,157.79,157.62,1318.0,161.33,163.77,167.45,170.05,167.45,170.05,167.5,-1.9099999999999968,22.935904399782743,2022-02-04 00:00:00+00:00
2022-01-26,641,162.6192339287703,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688412,25.82568931579589,2022-02-07 00:00:00+00:00
2022-01-26,642,152.55345754501374,157.72,157.79,157.62,1318.0,161.33,163.77,167.45,170.05,167.45,170.05,167.5,-1.9099999999999968,22.935904399782743,2022-02-08 00:00:00+00:00
2022-01-26,643,162.60991840035348,163.1699981689453,163.1699981689453,162.33999633789062,35854.0,164.92999267578125,166.7899932861328,169.6199951171875,170.89999389648438,169.6199951171875,170.89999389648438,167.89999389648438,-0.9799999594688412,25.82568931579589,2022-02-09 00:00:00+00:00
