symbol,amount,avg_price,invested,percentage,sector,cap,exp_roi(%)
AAPL,1.5,127.21,190.815,0.12319976549980437,Technology,2511866167296,2.1176751126842386
TSLA,0.33,679.65,224.2845,0.14480935883049484,Consumer Cyclical,948532674560,0.9527141645059278
AMD,2.0,81.82,163.64,0.10565421809809493,Technology,125109796864,0.2676476654298584
ENPH,1.0,152.07,152.07,0.09818404391455204,Technology,42092933120,7.263901455369534
NIO,3.0,37.73,113.19,0.07308115953631976,Consumer Cyclical,35147235328,0.14139264752708022
PLTR,4.5,22.94,103.23,0.06665048236535286,Technology,15326388224,20.06601348004847
ABNB,0.55,182.13,100.17150000000001,0.0646757608666177,Consumer Cyclical,78504902656,-0.7157807263418515
ETSY,0.5,202.85,101.425,0.0654850835406947,Consumer Cyclical,13666176000,-2.81228074642304
GME,2.5,160.0,400.0,0.2582601273480688,Consumer Cyclical,2069870208,10.537969965242635
