predicted_on,index,close,open,high,low,volume,ema_3,ema_5,ema_10,ema_30,sma_10,sma_30,sma_50,macd,rsi,time
2021-12-11,1577,-2909.27099609375,47651.76171875,47651.76953125,47533.30859375,24.49972915649414,49040.859375,49845.421875,51589.26171875,55472.6484375,51589.26171875,55472.6484375,56212.62109375,-2839.889892578125,30.562896728515625,2021-12-11 23:59:00+00:00
2021-12-11,1577,-2909.27099609375,47651.76171875,47651.76953125,47533.30859375,24.49972915649414,49040.859375,49845.421875,51589.26171875,55472.6484375,51589.26171875,55472.6484375,56212.62109375,-2839.889892578125,30.562896728515625,2021-12-11 23:59:00+00:00
2021-12-11,1577,-2909.27099609375,47651.76171875,47651.76953125,47533.30859375,24.49972915649414,49040.859375,49845.421875,51589.26171875,55472.6484375,51589.26171875,55472.6484375,56212.62109375,-2839.889892578125,30.562896728515625,2021-12-09 23:59:00+00:00
2021-12-11,1577,-2909.27099609375,47651.76171875,47651.76953125,47533.30859375,24.49972915649414,49040.859375,49845.421875,51589.26171875,55472.6484375,51589.26171875,55472.6484375,56212.62109375,-2839.889892578125,30.562896728515625,2021-12-09 23:59:00+00:00
2022-01-26,1623,30702.322265625,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.9296875,42698.23828125,38922.9296875,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-01-26 23:59:00+00:00
2022-01-26,1624,32734.057381851377,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-01-27 23:59:00+00:00
2022-01-26,1625,31250.576216673555,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.9296875,42698.23828125,38922.9296875,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-01-28 23:59:00+00:00
2022-01-26,1626,32173.647818650606,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-01-29 23:59:00+00:00
2022-01-26,1627,31556.854321190716,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-01-30 23:59:00+00:00
2022-01-26,1628,32069.91107655108,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-01-31 23:59:00+00:00
2022-01-26,1629,31652.206968424023,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-02-01 23:59:00+00:00
2022-01-26,1630,32024.402052554193,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-02-02 23:59:00+00:00
2022-01-26,1631,31679.512041380705,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-02-03 23:59:00+00:00
2022-01-26,1632,32008.45502951503,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-02-04 23:59:00+00:00
2022-01-26,1633,31688.136852470936,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-02-05 23:59:00+00:00
2022-01-26,1634,32104.50617007494,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73,42327.92,38565.73,42327.92,44949.41,-2647.5,32.809289444834405,2022-02-06 23:59:00+00:00
2022-01-26,1635,31792.140496557357,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-02-07 23:59:00+00:00
2022-01-26,1636,32120.641230825484,36917.0,36960.85,36908.34,11.22739,36798.74,37197.8,38565.73000000001,42327.92,38565.73000000001,42327.92,44949.41,-2647.5,32.809289444834405,2022-02-08 23:59:00+00:00
2022-01-26,1637,31807.36189951569,36652.640625,36687.76953125,36635.80859375,17.378639221191406,36639.16015625,37317.5390625,38922.92968749999,42698.23828125,38922.92968749999,42698.23828125,45275.578125,-2646.489990234375,31.26859474182129,2022-02-09 23:59:00+00:00
